name,cases,date,day,diff
Algeria,5,2020-03-03,-18,1
Algeria,17,2020-03-04,-17,3.4
Algeria,17,2020-03-05,-16,1
Algeria,17,2020-03-06,-15,1
Algeria,17,2020-03-07,-14,1
Algeria,20,2020-03-08,-13,1.1764705882352942
Algeria,20,2020-03-09,-12,1
Algeria,20,2020-03-10,-11,1
Algeria,20,2020-03-11,-10,1
Algeria,24,2020-03-12,-9,1.2
Algeria,24,2020-03-13,-8,1
Algeria,24,2020-03-14,-7,1
Algeria,45,2020-03-15,-6,1.875
Algeria,60,2020-03-16,-5,1.3333333333333333
Algeria,60,2020-03-17,-4,1
Algeria,67,2020-03-18,-3,1.1166666666666667
Algeria,82,2020-03-19,-2,1.2238805970149254
Algeria,82,2020-03-20,-1,1
Algeria,102,2020-03-21,0,1.2439024390243902
Algeria,102,2020-03-22,1,1
Algeria,201,2020-03-23,2,1.9705882352941178
Algeria,230,2020-03-24,3,1.144278606965174
Algeria,264,2020-03-25,4,1.1478260869565218
Algeria,367,2020-03-26,5,1.3901515151515151
Algeria,367,2020-03-27,6,1
Algeria,454,2020-03-28,7,1.237057220708447
Andorra,0,2020-02-06,-47,NA
Andorra,0,2020-02-07,-46,NaN
Andorra,0,2020-02-08,-45,NaN
Andorra,0,2020-02-09,-44,NaN
Andorra,0,2020-02-10,-43,NaN
Andorra,0,2020-02-11,-42,NaN
Andorra,0,2020-02-12,-41,NaN
Andorra,0,2020-02-13,-40,NaN
Andorra,0,2020-02-14,-39,NaN
Andorra,0,2020-02-15,-38,NaN
Andorra,0,2020-02-16,-37,NaN
Andorra,0,2020-02-17,-36,NaN
Andorra,0,2020-02-18,-35,NaN
Andorra,0,2020-02-19,-34,NaN
Andorra,0,2020-02-20,-33,NaN
Andorra,0,2020-02-21,-32,NaN
Andorra,0,2020-02-22,-31,NaN
Andorra,0,2020-02-23,-30,NaN
Andorra,0,2020-02-24,-29,NaN
Andorra,0,2020-02-25,-28,NaN
Andorra,0,2020-02-26,-27,NaN
Andorra,0,2020-02-27,-26,NaN
Andorra,0,2020-02-28,-25,NaN
Andorra,0,2020-02-29,-24,NaN
Andorra,0,2020-03-01,-23,NaN
Andorra,1,2020-03-02,-22,Inf
Andorra,1,2020-03-03,-21,1
Andorra,1,2020-03-04,-20,1
Andorra,1,2020-03-05,-19,1
Andorra,1,2020-03-06,-18,1
Andorra,1,2020-03-07,-17,1
Andorra,1,2020-03-08,-16,1
Andorra,1,2020-03-09,-15,1
Andorra,1,2020-03-10,-14,1
Andorra,1,2020-03-11,-13,1
Andorra,1,2020-03-12,-12,1
Andorra,1,2020-03-13,-11,1
Andorra,1,2020-03-14,-10,1
Andorra,1,2020-03-15,-9,1
Andorra,14,2020-03-16,-8,14
Andorra,14,2020-03-17,-7,1
Andorra,39,2020-03-18,-6,2.7857142857142856
Andorra,53,2020-03-19,-5,1.358974358974359
Andorra,74,2020-03-20,-4,1.3962264150943395
Andorra,87,2020-03-21,-3,1.1756756756756757
Andorra,87,2020-03-22,-2,1
Andorra,87,2020-03-23,-1,1
Andorra,133,2020-03-24,0,1.528735632183908
Andorra,188,2020-03-25,1,1.413533834586466
Andorra,188,2020-03-26,2,1
Andorra,224,2020-03-27,3,1.1914893617021276
Andorra,308,2020-03-28,4,1.375
Argentina,0,2020-02-06,-43,NA
Argentina,0,2020-02-07,-42,NaN
Argentina,0,2020-02-08,-41,NaN
Argentina,0,2020-02-09,-40,NaN
Argentina,0,2020-02-10,-39,NaN
Argentina,0,2020-02-11,-38,NaN
Argentina,0,2020-02-12,-37,NaN
Argentina,0,2020-02-13,-36,NaN
Argentina,0,2020-02-14,-35,NaN
Argentina,0,2020-02-15,-34,NaN
Argentina,0,2020-02-16,-33,NaN
Argentina,0,2020-02-17,-32,NaN
Argentina,0,2020-02-18,-31,NaN
Argentina,0,2020-02-19,-30,NaN
Argentina,0,2020-02-20,-29,NaN
Argentina,0,2020-02-21,-28,NaN
Argentina,0,2020-02-22,-27,NaN
Argentina,0,2020-02-23,-26,NaN
Argentina,0,2020-02-24,-25,NaN
Argentina,0,2020-02-25,-24,NaN
Argentina,0,2020-02-26,-23,NaN
Argentina,0,2020-02-27,-22,NaN
Argentina,0,2020-02-28,-21,NaN
Argentina,0,2020-02-29,-20,NaN
Argentina,0,2020-03-01,-19,NaN
Argentina,0,2020-03-02,-18,NaN
Argentina,0,2020-03-03,-17,NaN
Argentina,1,2020-03-04,-16,Inf
Argentina,1,2020-03-05,-15,1
Argentina,1,2020-03-06,-14,1
Argentina,9,2020-03-07,-13,9
Argentina,12,2020-03-08,-12,1.3333333333333333
Argentina,12,2020-03-09,-11,1
Argentina,12,2020-03-10,-10,1
Argentina,12,2020-03-11,-9,1
Argentina,21,2020-03-12,-8,1.75
Argentina,31,2020-03-13,-7,1.4761904761904763
Argentina,31,2020-03-14,-6,1
Argentina,45,2020-03-15,-5,1.4516129032258065
Argentina,56,2020-03-16,-4,1.2444444444444445
Argentina,65,2020-03-17,-3,1.1607142857142858
Argentina,79,2020-03-18,-2,1.2153846153846153
Argentina,97,2020-03-19,-1,1.2278481012658229
Argentina,128,2020-03-20,0,1.3195876288659794
Argentina,158,2020-03-21,1,1.234375
Argentina,225,2020-03-22,2,1.4240506329113924
Argentina,266,2020-03-23,3,1.1822222222222223
Argentina,301,2020-03-24,4,1.131578947368421
Argentina,387,2020-03-25,5,1.2857142857142858
Argentina,502,2020-03-26,6,1.297157622739018
Argentina,589,2020-03-27,7,1.1733067729083666
Argentina,690,2020-03-28,8,1.1714770797962648
Armenia,0,2020-02-06,-42,NA
Armenia,0,2020-02-07,-41,NaN
Armenia,0,2020-02-08,-40,NaN
Armenia,0,2020-02-09,-39,NaN
Armenia,0,2020-02-10,-38,NaN
Armenia,0,2020-02-11,-37,NaN
Armenia,0,2020-02-12,-36,NaN
Armenia,0,2020-02-13,-35,NaN
Armenia,0,2020-02-14,-34,NaN
Armenia,0,2020-02-15,-33,NaN
Armenia,0,2020-02-16,-32,NaN
Armenia,0,2020-02-17,-31,NaN
Armenia,0,2020-02-18,-30,NaN
Armenia,0,2020-02-19,-29,NaN
Armenia,0,2020-02-20,-28,NaN
Armenia,0,2020-02-21,-27,NaN
Armenia,0,2020-02-22,-26,NaN
Armenia,0,2020-02-23,-25,NaN
Armenia,0,2020-02-24,-24,NaN
Armenia,0,2020-02-25,-23,NaN
Armenia,0,2020-02-26,-22,NaN
Armenia,0,2020-02-27,-21,NaN
Armenia,0,2020-02-28,-20,NaN
Armenia,0,2020-02-29,-19,NaN
Armenia,1,2020-03-01,-18,Inf
Armenia,1,2020-03-02,-17,1
Armenia,1,2020-03-03,-16,1
Armenia,1,2020-03-04,-15,1
Armenia,1,2020-03-05,-14,1
Armenia,1,2020-03-06,-13,1
Armenia,1,2020-03-07,-12,1
Armenia,1,2020-03-08,-11,1
Armenia,1,2020-03-09,-10,1
Armenia,1,2020-03-10,-9,1
Armenia,1,2020-03-11,-8,1
Armenia,1,2020-03-12,-7,1
Armenia,1,2020-03-13,-6,1
Armenia,1,2020-03-14,-5,1
Armenia,20,2020-03-15,-4,20
Armenia,30,2020-03-16,-3,1.5
Armenia,52,2020-03-17,-2,1.7333333333333334
Armenia,78,2020-03-18,-1,1.5
Armenia,115,2020-03-19,0,1.4743589743589745
Armenia,136,2020-03-20,1,1.182608695652174
Armenia,160,2020-03-21,2,1.1764705882352942
Armenia,190,2020-03-22,3,1.1875
Armenia,194,2020-03-23,4,1.0210526315789474
Armenia,235,2020-03-24,5,1.211340206185567
Armenia,266,2020-03-25,6,1.1319148936170214
Armenia,266,2020-03-26,7,1
Armenia,329,2020-03-27,8,1.236842105263158
Aruba,0,2020-02-06,-54,NA
Aruba,0,2020-02-07,-53,NaN
Aruba,0,2020-02-08,-52,NaN
Aruba,0,2020-02-09,-51,NaN
Aruba,0,2020-02-10,-50,NaN
Aruba,0,2020-02-11,-49,NaN
Aruba,0,2020-02-12,-48,NaN
Aruba,0,2020-02-13,-47,NaN
Aruba,0,2020-02-14,-46,NaN
Aruba,0,2020-02-15,-45,NaN
Aruba,0,2020-02-16,-44,NaN
Aruba,0,2020-02-17,-43,NaN
Aruba,0,2020-02-18,-42,NaN
Aruba,0,2020-02-19,-41,NaN
Aruba,0,2020-02-20,-40,NaN
Aruba,0,2020-02-21,-39,NaN
Aruba,0,2020-02-22,-38,NaN
Aruba,0,2020-02-23,-37,NaN
Aruba,0,2020-02-24,-36,NaN
Aruba,0,2020-02-25,-35,NaN
Aruba,0,2020-02-26,-34,NaN
Aruba,0,2020-02-27,-33,NaN
Aruba,0,2020-02-28,-32,NaN
Aruba,0,2020-02-29,-31,NaN
Aruba,0,2020-03-01,-30,NaN
Aruba,0,2020-03-02,-29,NaN
Aruba,0,2020-03-03,-28,NaN
Aruba,0,2020-03-04,-27,NaN
Aruba,0,2020-03-05,-26,NaN
Aruba,0,2020-03-06,-25,NaN
Aruba,0,2020-03-07,-24,NaN
Aruba,0,2020-03-08,-23,NaN
Aruba,0,2020-03-09,-22,NaN
Aruba,0,2020-03-10,-21,NaN
Aruba,0,2020-03-11,-20,NaN
Aruba,0,2020-03-12,-19,NaN
Aruba,0,2020-03-13,-18,NaN
Aruba,0,2020-03-14,-17,NaN
Aruba,0,2020-03-15,-16,NaN
Aruba,0,2020-03-16,-15,NaN
Aruba,0,2020-03-17,-14,NaN
Aruba,0,2020-03-18,-13,NaN
Aruba,4,2020-03-19,-12,Inf
Aruba,5,2020-03-20,-11,1.25
Aruba,5,2020-03-21,-10,1
Aruba,5,2020-03-22,-9,1
Aruba,9,2020-03-23,-8,1.8
Aruba,12,2020-03-24,-7,1.3333333333333333
Aruba,17,2020-03-25,-6,1.4166666666666667
Aruba,19,2020-03-26,-5,1.1176470588235294
Aruba,28,2020-03-27,-4,1.4736842105263157
Aruba,46,2020-03-28,-3,1.6428571428571428
Australia,15,2020-02-06,-33,NA
Australia,15,2020-02-07,-32,1
Australia,15,2020-02-08,-31,1
Australia,15,2020-02-09,-30,1
Australia,15,2020-02-10,-29,1
Australia,15,2020-02-11,-28,1
Australia,15,2020-02-12,-27,1
Australia,15,2020-02-13,-26,1
Australia,15,2020-02-14,-25,1
Australia,15,2020-02-15,-24,1
Australia,15,2020-02-16,-23,1
Australia,15,2020-02-17,-22,1
Australia,15,2020-02-18,-21,1
Australia,15,2020-02-19,-20,1
Australia,17,2020-02-20,-19,1.1333333333333333
Australia,21,2020-02-21,-18,1.2352941176470589
Australia,22,2020-02-22,-17,1.0476190476190477
Australia,22,2020-02-23,-16,1
Australia,22,2020-02-24,-15,1
Australia,22,2020-02-25,-14,1
Australia,23,2020-02-26,-13,1.0454545454545454
Australia,23,2020-02-27,-12,1
Australia,25,2020-02-28,-11,1.0869565217391304
Australia,25,2020-02-29,-10,1
Australia,29,2020-03-01,-9,1.16
Australia,31,2020-03-02,-8,1.0689655172413792
Australia,31,2020-03-03,-7,1
Australia,43,2020-03-04,-6,1.3870967741935485
Australia,60,2020-03-05,-5,1.3953488372093024
Australia,61,2020-03-06,-4,1.0166666666666666
Australia,74,2020-03-07,-3,1.2131147540983607
Australia,80,2020-03-08,-2,1.0810810810810811
Australia,91,2020-03-09,-1,1.1375
Australia,101,2020-03-10,0,1.10989010989011
Australia,127,2020-03-11,1,1.2574257425742574
Australia,156,2020-03-12,2,1.2283464566929134
Australia,156,2020-03-13,3,1
Australia,247,2020-03-14,4,1.5833333333333333
Australia,262,2020-03-15,5,1.0607287449392713
