Province/State,Country/Region,First confirmed date in country (Est.),Lat,Long,2020-01-21 22:00:00,2020-01-22 12:00:00,2020-01-23 12:00:00,2020-01-24 00:00:00,2020-01-24 12:00:00,2020-01-25 00:00:00,2020-01-25 12:00:00,2020-01-25 22:00:00,2020-01-26 11:00:00,2020-01-26 23:00:00,2020-01-27 09:00:00,2020-01-27 19:00:00,2020-01-27 20:30:00,2020-01-28 13:00:00,2020-01-28 18:00:00,2020-01-28 23:00:00,2020-01-29 13:30:00,2020-01-29 14:30:00,2020-01-29 21:00:00,2020-01-30 11:00:00,2020-01-31 14:00:00,2020-01-31 19:00:00,2020-02-01 10:00:00,2020-02-02 21:00:00,2020-02-03 21:00:00,2020-02-04 09:40:00,2020-02-04 22:00:00,2020-02-05 09:00:00,2020-02-06 14:20:00
Ningxia,Mainland China,2020-01-03,37.26923,106.1655,,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,7.0,7.0,7.0,11.0,11.0,12.0,12.0,12.0,12.0,17.0,21.0,21.0,26.0,28.0,31.0,34.0,34.0,34.0,40
Qinghai,Mainland China,2020-01-03,35.65945,96.02564,,,,,,,1.0,1.0,1.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,9.0,11.0,13.0,15.0,17.0,17.0,18
Shaanxi,Mainland China,2020-01-03,35.19165,108.8701,,,3.0,3.0,5.0,5.0,15.0,15.0,22.0,22.0,35.0,35.0,35.0,46.0,46.0,56.0,56.0,56.0,56.0,63.0,87.0,87.0,101.0,116.0,128.0,142.0,165.0,165.0,173
Shandong,Mainland China,2020-01-03,36.34377,118.1529,1.0,2.0,6.0,9.0,15.0,21.0,27.0,39.0,46.0,63.0,75.0,75.0,87.0,95.0,95.0,121.0,130.0,130.0,145.0,158.0,184.0,184.0,206.0,246.0,270.0,270.0,298.0,307.0,347
Shanghai,Mainland China,2020-01-03,31.20327,121.4554,9.0,9.0,16.0,20.0,20.0,33.0,33.0,40.0,40.0,53.0,53.0,53.0,66.0,66.0,66.0,80.0,96.0,96.0,101.0,112.0,135.0,153.0,169.0,193.0,208.0,208.0,233.0,243.0,257
Shanxi,Mainland China,2020-01-03,37.57769,112.2922,,1.0,1.0,1.0,1.0,6.0,6.0,9.0,9.0,13.0,13.0,13.0,20.0,20.0,27.0,27.0,27.0,27.0,35.0,35.0,39.0,47.0,47.0,66.0,74.0,74.0,81.0,81.0,90
Sichuan,Mainland China,2020-01-03,30.61714,102.7103,2.0,5.0,8.0,15.0,15.0,28.0,28.0,44.0,44.0,69.0,69.0,69.0,90.0,90.0,90.0,108.0,108.0,108.0,142.0,142.0,177.0,177.0,207.0,254.0,254.0,282.0,301.0,301.0,321
Tianjin,Mainland China,2020-01-03,39.29362,117.333,2.0,4.0,4.0,5.0,8.0,8.0,10.0,13.0,14.0,14.0,22.0,23.0,23.0,24.0,24.0,25.0,27.0,27.0,27.0,31.0,32.0,32.0,38.0,48.0,60.0,60.0,67.0,69.0,78
Tibet,Mainland China,2020-01-03,30.1534,88.7879,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Xinjiang,Mainland China,2020-01-03,41.11981,85.17822,,,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,13.0,13.0,13.0,14.0,14.0,17.0,17.0,18.0,24.0,24.0,29.0,32.0,32.0,36
Yunnan,Mainland China,2020-01-03,24.97411,101.4868,1.0,1.0,2.0,2.0,5.0,5.0,11.0,11.0,16.0,19.0,26.0,26.0,26.0,44.0,44.0,44.0,55.0,55.0,55.0,70.0,83.0,83.0,91.0,105.0,117.0,117.0,122.0,124.0,133
Zhejiang,Mainland China,2020-01-03,29.18251,120.0985,5.0,10.0,27.0,43.0,43.0,62.0,62.0,104.0,104.0,128.0,128.0,128.0,173.0,173.0,173.0,296.0,296.0,296.0,428.0,428.0,538.0,537.0,599.0,724.0,724.0,829.0,895.0,895.0,954
,Thailand,2020-01-13,13.7563,100.5018,2.0,2.0,3.0,4.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,19.0,19.0,19.0,19.0,19.0,19.0,25.0,25.0,25
,Japan,2020-01-16,35.6762,139.6503,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,11.0,11.0,15.0,17.0,17.0,20.0,20.0,20.0,22.0,22.0,45
,South Korea,2020-01-21,37.5665,126.978,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,11.0,12.0,15.0,15.0,15.0,16.0,16.0,23
Taiwan,Taiwan,2020-01-21,23.6978,120.9605,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,16
